sprint_id,team_size,sprint_duration_weeks,velocity,defect_rate,req_change_count,team_sentiment,timezone_offset_hours,fixed_price_contract,unproven_tech_flag,budget_burn_percent,is_high_risk,velocity_trend,defect_trend,timezone_risk_score,budget_constraint
SPRINT_0000,6,1,16.4,0.264,1,2.8,5,1,1,10.0,0,-4.1,0.036,0,0
SPRINT_0001,7,2,29.1,0.291,4,3.0,8,0,0,60.3,0,-3.1,0.05,1,1
SPRINT_0002,5,2,14.6,0.152,0,3.4,7,0,1,52.4,0,3.2,-0.007,1,1
SPRINT_0003,7,1,25.7,0.294,3,4.0,6,0,0,25.4,0,1.8,-0.039,1,0
SPRINT_0004,7,1,27.8,0.074,2,1.8,8,1,1,47.1,0,1.4,-0.047,1,1
SPRINT_0005,4,1,23.5,0.318,2,4.4,6,0,1,49.2,0,-1.0,0.023,1,1
SPRINT_0006,5,2,20.3,0.214,2,1.5,4,0,0,19.5,0,0.8,0.037,0,0
SPRINT_0007,5,1,18.7,0.295,4,2.7,4,0,1,65.2,0,-1.9,-0.028,0,1
SPRINT_0008,5,1,17.1,0.186,1,1.6,4,0,0,78.1,0,-0.2,-0.034,0,1
SPRINT_0009,7,2,32.2,0.243,3,2.8,6,0,0,79.1,0,2.9,-0.044,1,1
SPRINT_0010,6,2,29.6,0.208,4,3.2,8,0,1,60.2,1,4.8,0.032,1,1
SPRINT_0011,5,1,33.1,0.269,3,3.2,4,0,0,51.2,0,4.3,-0.019,0,1
SPRINT_0012,8,2,11.2,0.074,3,2.0,8,1,1,6.1,1,4.3,-0.01,1,0
SPRINT_0013,7,2,27.0,0.068,1,3.6,6,1,1,28.8,0,-1.0,0.0,1,0
SPRINT_0014,4,1,32.4,0.124,2,1.6,8,1,0,9.3,0,-0.3,0.034,1,0
SPRINT_0015,6,2,12.7,0.098,1,4.0,6,0,1,96.4,0,2.1,0.015,1,1
SPRINT_0016,8,1,9.7,0.312,4,4.6,6,0,0,13.5,0,4.2,0.012,1,0
SPRINT_0017,8,2,27.3,0.116,4,2.6,7,1,0,15.2,0,-3.6,-0.032,1,0
SPRINT_0018,4,1,22.9,0.343,4,3.2,6,0,1,89.0,1,-2.0,0.001,1,1
SPRINT_0019,6,1,29.9,0.151,1,2.8,6,1,1,94.4,0,-3.6,0.022,1,1
SPRINT_0020,7,1,11.6,0.105,3,1.5,5,0,0,76.6,0,1.1,0.047,0,1
SPRINT_0021,3,2,28.7,0.287,3,2.8,4,0,0,0.5,0,-1.9,-0.03,0,0
SPRINT_0022,6,1,13.2,0.248,0,4.1,7,1,1,0.1,1,-1.7,-0.049,1,0
SPRINT_0023,4,2,12.3,0.199,4,3.5,7,1,1,37.8,1,-4.3,-0.042,1,0
SPRINT_0024,8,1,12.3,0.217,3,1.8,7,1,1,14.3,1,-1.5,-0.012,1,0
SPRINT_0025,7,1,29.2,0.266,0,4.3,5,1,1,1.8,0,3.6,0.032,0,0
SPRINT_0026,6,2,25.3,0.119,3,3.3,6,1,0,46.4,0,-2.7,-0.049,1,1
SPRINT_0027,3,1,21.6,0.349,4,4.3,4,0,1,94.3,1,2.0,-0.004,0,1
SPRINT_0028,3,1,17.3,0.342,2,3.4,8,0,0,32.4,0,1.3,-0.017,1,0
SPRINT_0029,5,2,30.8,0.245,4,3.3,6,0,0,66.1,0,3.6,-0.045,1,1
SPRINT_0030,5,1,18.2,0.11,1,1.8,5,1,1,65.2,0,-3.7,-0.005,0,1
SPRINT_0031,4,1,29.2,0.254,3,2.1,6,1,0,25.1,0,4.8,-0.025,1,0
SPRINT_0032,6,1,19.4,0.072,3,4.7,6,1,1,65.0,1,0.8,-0.015,1,1
SPRINT_0033,6,1,17.8,0.059,1,2.3,5,1,0,21.2,0,5.0,0.021,0,0
SPRINT_0034,8,2,20.0,0.127,1,4.7,7,1,1,12.2,1,4.1,0.002,1,0
SPRINT_0035,8,2,15.8,0.189,2,3.3,7,1,0,70.1,0,-2.8,-0.038,1,1
SPRINT_0036,8,1,27.4,0.31,3,1.9,4,0,0,11.3,0,-4.4,0.046,0,0
SPRINT_0037,5,2,21.1,0.268,3,1.8,4,0,1,99.7,0,-2.4,0.014,0,1
SPRINT_0038,6,1,14.0,0.273,2,2.2,7,0,1,18.3,0,0.3,0.027,1,0
SPRINT_0039,6,2,31.4,0.178,0,4.6,8,0,0,59.4,0,-3.3,-0.042,1,1
SPRINT_0040,3,1,18.0,0.154,2,2.9,6,0,0,41.1,0,-3.3,-0.045,1,1
SPRINT_0041,5,1,22.1,0.161,4,2.8,8,1,1,12.6,1,-0.4,-0.048,1,0
SPRINT_0042,7,1,31.6,0.346,3,2.5,6,1,0,2.8,0,-4.7,-0.031,1,0
SPRINT_0043,5,1,24.2,0.062,1,2.0,7,1,1,62.3,0,-3.8,-0.009,1,1
SPRINT_0044,7,1,11.0,0.31,4,3.1,4,1,0,80.7,1,-0.8,0.044,0,1
SPRINT_0045,3,1,32.4,0.224,3,1.9,4,1,1,84.2,1,-4.4,-0.004,0,1
SPRINT_0046,4,2,24.3,0.182,2,4.3,8,1,0,48.3,0,-1.0,-0.021,1,1
SPRINT_0047,6,1,16.7,0.268,4,2.7,4,0,1,77.7,0,-0.3,0.006,0,1
SPRINT_0048,3,2,11.6,0.196,3,2.7,7,1,1,67.3,1,-0.5,-0.039,1,1
SPRINT_0049,6,1,28.6,0.312,0,3.1,8,1,0,72.4,0,3.7,0.011,1,1
SPRINT_0050,8,2,24.1,0.32,0,3.0,6,1,1,49.3,0,0.3,0.007,1,1
SPRINT_0051,4,2,21.9,0.177,1,4.8,4,1,0,63.3,0,-0.3,0.029,0,1
SPRINT_0052,4,2,31.2,0.133,3,3.3,5,0,1,80.6,0,-0.9,0.049,0,1
SPRINT_0053,3,1,28.5,0.228,0,1.8,4,0,1,39.8,0,3.2,-0.025,0,0
SPRINT_0054,4,1,11.9,0.324,2,3.5,6,1,1,80.6,1,4.0,0.001,1,1
SPRINT_0055,7,2,16.1,0.113,3,2.0,8,0,0,59.2,0,3.5,0.041,1,1
SPRINT_0056,4,1,14.5,0.237,2,1.6,6,0,1,16.6,0,1.7,0.029,1,0
SPRINT_0057,6,2,27.3,0.239,2,4.7,5,1,0,2.5,0,-3.6,-0.001,0,0
SPRINT_0058,6,1,8.9,0.27,0,4.1,7,1,1,36.3,1,-2.2,0.045,1,0
SPRINT_0059,6,2,22.8,0.089,3,4.7,4,1,0,54.7,0,-4.5,-0.044,0,1
SPRINT_0060,6,2,27.8,0.265,4,3.1,8,1,0,84.0,1,4.3,0.043,1,1
SPRINT_0061,7,1,30.8,0.323,0,3.3,7,1,0,12.7,0,1.6,-0.045,1,0
SPRINT_0062,5,2,16.9,0.104,0,2.1,6,0,1,80.0,0,2.5,0.005,1,1
SPRINT_0063,8,1,29.4,0.121,3,2.3,8,1,0,86.3,0,-1.9,0.039,1,1
SPRINT_0064,3,2,10.9,0.341,3,4.3,7,1,1,15.1,1,3.5,-0.024,1,0
SPRINT_0065,6,2,30.0,0.104,2,2.7,8,1,0,85.2,0,-2.4,-0.003,1,1
SPRINT_0066,4,1,11.3,0.306,3,4.2,5,0,0,99.1,0,-5.0,-0.018,0,1
SPRINT_0067,6,1,18.3,0.198,2,3.8,5,1,0,72.7,0,-1.2,0.045,0,1
SPRINT_0068,4,1,28.7,0.124,0,2.1,4,1,0,78.5,0,0.7,0.032,0,1
SPRINT_0069,8,2,11.9,0.311,1,3.2,4,1,1,99.4,1,-0.2,0.021,0,1
